After about 4 hours of computation....
door 110880 is max 4717440 (42.55)
door 120120 is max 4838400 (40.28)
door 120960 is max 4896000 (40.48)
door 126000 is max 5029440 (39.92)
door 128520 is max 5184000 (40.34)
door 131040 is max 5503680 (42.00)
door 138600 is max 5803200 (41.87)
door 147840 is max 5875200 (39.74)
door 151200 is max 6249600 (41.33)
door 161280 is max 6383520 (39.58)
door 163800 is max 6770400 (41.33)
door 166320 is max 7142400 (42.94)
door 180180 is max 7338240 (40.73)
door 181440 is max 7376160 (40.65)
door 184800 is max 7499520 (40.58)
door 191520 is max 7862400 (41.05)
door 194040 is max 8002800 (41.24)
door 196560 is max 8332800 (42.39)
door 211680 is max 8618400 (40.71)
door 214200 is max 8704800 (40.64)
door 218400 is max 8749440 (40.06)
door 221760 is max 9509760 (42.88)
door 239400 is max 9672000 (40.40)
door 240240 is max 9999360 (41.62)
door 249480 is max 10454400 (41.90)
door 257040 is max 10713600 (41.68)
door 262080 is max 11094720 (42.33)
door 277200 is max 11993280 (43.27)
door 294840 is max 12196800 (41.37)
door 302400 is max 12598400 (41.66)
door 314160 is max 12856320 (40.92)
door 327600 is max 13992160 (42.71)
door 332640 is max 14515200 (43.64)
door 360360 is max 15724800 (43.64)
door 383040 is max 15849600 (41.38)
door 388080 is max 16539120 (42.62)
door 393120 is max 16934400 (43.08)
door 415800 is max 17856000 (42.94)
door 428400 is max 17989920 (41.99)
door 443520 is max 19094400 (43.05)
door 458640 is max 19295640 (42.07)
door 471240 is max 20217600 (42.90)
door 480480 is max 20321280 (42.29)
door 491400 is max 20832000 (42.39)
door 498960 is max 21605760 (43.30)
door 514080 is max 21772800 (42.35)
door 524160 is max 22276800 (42.50)
door 526680 is max 22464000 (42.65)
; Evaluation aborted on #<SYSTEM::SIMPLE-INTERRUPT-CONDITION #x0003353E4D98>.
